Outflow,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,NorthCarolina,NorthDakota,Nebraska,NewHampshire,NewJersey,NewMexico,Nevada,NewYork,Ohio,Oklahoma,Oregon,Pennsylvania,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,WestVirginia,Wyoming,,,
Alaska,0,620,243,1035,2817,1033,133,64,1705,1164,625,181,679,557,329,424,424,408,220,364,162,603,530,603,186,523,1016,186,252,77,212,374,583,613,481,604,1464,437,17,442,171,468,2636,660,940,77,2817,424,99,227,,,30909
Alabama,578,0,1096,1248,3192,1125,362,150,12189,17114,602,420,237,1846,1446,794,1855,2480,442,953,139,2051,405,1265,5498,109,3256,111,313,146,682,399,503,1924,2069,878,312,1066,120,1881,146,6698,6016,447,3010,46,1092,562,286,156,,,89715
Arkansas,269,972,0,1208,3531,975,137,62,2621,1522,230,612,247,2295,826,1536,652,2631,204,343,72,1099,538,6646,2066,130,1193,124,424,56,405,426,564,772,873,5250,362,576,49,557,109,3519,10782,414,997,28,714,744,99,251,,,60712
Arizona,1356,921,952,0,30618,7769,932,257,5215,2682,1398,1812,2100,7119,2561,1876,1113,879,1596,1340,414,4629,3150,2712,652,1180,2845,579,1474,485,1902,7094,6084,4168,3931,1805,3931,3007,282,1060,1014,1582,11024,5433,2554,244,7905,2908,247,1019,,,157810
California,2428,2654,2701,31809,0,14552,3462,709,19091,10518,8677,2682,4517,16063,4882,3732,2496,3416,8933,6124,895,7722,5376,6138,1880,1837,11099,685,2180,1326,8185,4646,26229,19963,7710,4297,14693,8273,1055,3489,904,4915,34901,9627,13119,589,24688,4303,618,1133,,,381921
Colorado,1268,1509,1077,8472,17015,0,814,224,7600,3603,1667,1996,1684,5307,1952,3889,1175,1432,1709,1706,481,3045,2609,3386,755,1552,3648,713,2863,535,1437,4639,3399,3961,3145,2801,2278,2692,256,1219,1111,2017,14546,3486,3926,328,4331,2261,296,3388,,,145203
Connecticut,75,231,102,644,2930,569,0,152,5169,1519,271,187,96,1215,405,241,260,207,5707,1062,649,642,422,440,100,58,1647,40,134,804,3358,111,310,15625,998,205,202,2083,1599,810,45,472,1639,258,1859,484,792,361,97,30,,,57316
Delaware,70,97,63,180,647,140,238,0,1322,630,62,79,45,336,108,86,115,76,282,4578,63,204,95,145,62,32,702,25,41,62,3055,56,103,1717,355,110,57,6249,64,273,28,181,651,76,1181,34,111,162,154,16,,,25218
Florida,1665,12064,2986,6162,21675,7162,8852,1870,0,37086,2580,2560,1035,16581,10067,3354,6980,5392,13641,10946,3394,15129,4509,6948,4522,805,22244,652,1757,3982,21885,2259,4364,46114,18746,3400,2239,20211,3353,10421,448,13083,25376,2139,19740,1439,5686,5932,2870,1055,,,447360
Georgia,1141,16164,1678,2916,11000,3118,2039,620,36699,0,1543,894,406,6807,3331,2562,3739,3844,2565,4513,500,5414,1811,3066,3501,311,14016,265,659,608,5409,923,1362,11829,7462,1883,763,5535,516,13061,222,11723,14322,995,9015,178,3318,1946,768,234,,,227194
