Outflow,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,NorthCarolina,NorthDakota,Nebraska,NewHampshire,NewJersey,NewMexico,Nevada,NewYork,Ohio,Oklahoma,Oregon,Pennsylvania,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,WestVirginia,Wyoming
Alaska,0,0.6,0.4,0.9,0.6,0.9,0.1,0.3,0.4,0.5,1.6,0.3,1.7,0.3,0.2,0.6,0.5,0.6,0.2,0.3,0.8,0.5,0.6,0.6,0.4,2.1,0.5,1.3,0.5,0.3,0.2,1.1,0.9,0.3,0.3,0.9,1.6,0.2,0.3,0.4,0.9,0.4,0.8,0.9,0.5,0.6,2.1,0.4,0.4,1
Alabama,2,0,1.6,0.6,0.7,1,0.4,0.4,2.7,7.1,1.5,0.6,0.4,0.9,1.2,1.1,2,3.4,0.5,0.8,0.7,1.6,0.5,1.1,9.4,0.7,1.6,0.6,0.8,0.3,0.4,0.7,0.5,0.8,1.3,1.1,0.3,0.6,0.2,1.7,0.6,5,1.8,0.7,1.5,0.6,0.7,0.7,0.8,0.8
Arkansas,0.8,1.2,0,0.6,0.7,0.7,0.2,0.3,0.7,0.7,0.5,0.9,0.4,1,0.7,1.7,0.7,3.4,0.2,0.3,0.3,0.8,0.7,4.6,3.2,0.5,0.6,0.5,1.1,0.1,0.2,0.9,0.5,0.3,0.6,7.1,0.4,0.4,0.3,0.4,0.6,2.4,2.7,0.5,0.5,0.2,0.5,0.7,0.5,0.7
Arizona,3.4,1.4,2,0,8.3,5.8,1.1,0.7,1.4,1.3,2.9,3,5.1,3.1,2,2.7,1.3,1.4,1.4,1.3,1.8,3.2,3.5,2.2,1,4.3,1.4,2.6,3.3,1.3,1,17,7.6,1.5,2.3,3,5.2,1.5,1.2,1.1,3.2,1.4,3.7,9.2,1.5,1.8,4.9,3,1,4.2
California,9.1,3.6,5.8,19.4,0,11.7,5.1,2.6,4.9,4.8,19,5.7,15.8,7.3,4.5,5.5,3.4,5.2,7.5,5.9,4.5,6.2,6.9,5.7,3.5,10,5.3,4.2,6.3,3.4,4.9,9.3,33.3,7.4,4.8,7.1,24.6,4.1,5.5,3.1,5.3,4.3,11.2,16.7,7,3.9,18.7,5.6,2.1,6.2
Colorado,3.3,1.3,1.6,4.9,3.8,0,1,0.6,1.6,1.4,2.9,3,3.2,2,1.4,4.9,1.2,1.8,1.5,1.4,1.8,2,2.9,2.4,1.2,5.6,1.4,4.2,7.5,1.3,0.7,7.7,3,1.3,1.6,3.6,2.7,1.4,1,1.1,4.6,1.2,3.7,5.3,1.7,2.3,2.7,2.4,1.1,14
Connecticut,0.4,0.4,0.2,0.6,0.9,0.6,0,0.9,2,0.9,1.1,0.4,0.2,0.8,0.5,0.2,0.3,0.4,7,1.1,5,0.6,0.5,0.4,0.2,0.3,1.3,0.2,0.3,3.4,2.2,0.4,0.4,4.9,0.7,0.3,0.3,1.6,8.6,1.4,0.3,0.5,0.6,0.5,1.2,4.9,0.7,0.7,0.5,0.3
Delaware,0.2,0.2,0.1,0.2,0.2,0.2,0.3,0,0.4,0.3,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.3,3.2,0.2,0.2,0.2,0.1,0.1,0.1,0.4,0.1,0.1,0.3,1.3,0.1,0.1,0.5,0.3,0.1,0.1,3,0.3,0.4,0.1,0.2,0.2,0.1,0.6,0.1,0.1,0.3,0.4,0.1
Florida,5.5,13.6,4.3,3.3,5,5.2,9,5.2,0,16.2,5.1,3,1.8,6.3,7.1,3.4,6.7,7.3,10,7.2,9.7,9.8,4,4.4,7.5,3,10,2.8,4,7.2,8.9,3.5,4.2,12.7,9.1,4.2,2.4,7.7,9.2,8.9,4.6,9.8,6.9,2.9,8.6,5.9,4,5,7,3.9
Georgia,3.8,19.1,2.5,1.7,2.8,2.5,2.7,2.5,8.3,0,3.6,1.6,1.1,3.1,2.8,2.6,4.4,6,2.4,3.9,1.9,3.8,2,2.5,6,1.4,6.7,1.1,1.8,1.5,2.7,1.5,1.4,4,3.8,2.7,1.2,2.5,2.2,11.8,1.3,8.7,4.3,1.5,4.5,1.7,2.3,2.1,2.6,1.2
Hawaii,2,0.7,0.4,0.9,2.3,1.2,0.5,0.3,0.6,0.7,0,0.4,0.7,0.5,0.3,0.8,0.6,0.6,0.5,1.1,0.7,0.6,0.4,0.7,0.4,0.7,0.7,0.5,0.5,0.3,0.3,0.6,2,0.5,0.4,0.8,1.6,0.3,0.9,0.6,0.4,0.5,1,1.2,1.4,0.5,2.3,0.4,0.3,0.4
Iowa,0.6,0.5,1,1.2,0.7,1.4,0.3,0.3,0.6,0.4,0.4,0,0.6,4.3,1,1.9,0.6,0.5,0.3,0.4,0.5,1.1,5.8,2.9,0.6,0.9,0.5,1.4,14.8,0.3,0.3,0.6,0.6,0.3,0.7,0.8,0.6,0.4,0.2,0.4,8.7,0.6,0.9,0.5,0.4,0.4,0.6,3.4,0.3,1
Idaho,2.2,0.3,0.4,1.3,1.2,1.2,0.2,0.2,0.2,0.2,0.7,0.5,0,0.3,0.3,0.4,0.2,0.2,0.2,0.2,0.3,0.3,0.6,0.5,0.2,6,0.3,2.6,0.7,0.2,0.1,0.9,1.9,0.2,0.3,0.5,4.5,0.2,0.1,0.2,1.2,0.2,0.5,8.7,0.3,0.4,4.7,0.4,0.2,5.2
Illinois,1.8,2.1,3.8,4.5,4.2,3.7,2.1,1.3,3.7,3,2,16,1.2,0,18.5,2.9,4.6,1.9,2.5,2,1.3,7.5,6.5,12.2,3.2,1.5,2.2,1.5,3.5,1.1,2,1.8,2.7,2.6,4.4,2,1.7,2,1.3,1.9,2.1,3.9,4.1,1.6,2.4,1.3,2.2,20.2,1.2,1.6
Indiana,1.1,1.6,1.4,1.6,1.3,1.3,0.7,0.4,2.3,1.5,0.7,2.2,0.5,9,0,1.3,11.2,1.1,0.7,0.9,0.6,6.7,1.7,2.1,1.3,0.8,1.5,0.8,1.2,0.7,0.7,0.9,0.9,0.9,6.3,1.2,0.8,1.2,0.6,1.3,1.2,2.9,1.7,0.9,1.1,0.8,1,2.7,1.5,1
Kansas,1.4,0.9,2.5,1.2,1,2.7,0.4,0.3,0.8,1.1,1.2,2.7,0.7,1.1,0.8,0,1.1,1,0.4,0.5,0.4,1,1.2,14.7,0.6,0.8,0.9,0.9,6.3,0.3,0.3,1.3,0.7,0.6,0.9,7,0.8,0.5,0.3,0.7,1.6,0.9,2.2,0.9,0.8,0.4,1.1,0.9,0.5,1.4
Kentucky,1.4,2.1,1.1,0.7,0.7,0.8,0.5,0.5,1.6,1.7,1,0.9,0.4,1.8,8.9,1.1,0,1.1,0.5,0.7,0.8,2.1,0.6,1.6,1.3,0.6,1.3,0.4,0.7,0.3,0.4,0.5,0.4,0.7,7.2,0.9,0.5,0.9,0.3,1.4,0.6,7,1.3,0.6,1.1,0.6,0.7,0.9,4.1,0.5
Louisiana,1.3,2.8,4.3,0.6,0.9,1,0.4,0.3,1.2,1.7,1,0.5,0.5,0.7,0.8,0.9,1,0,0.4,0.7,0.6,0.9,0.5,1.2,11.4,0.5,1,0.9,0.7,0.4,0.4,0.7,0.6,0.7,0.8,1.7,0.4,0.6,0.5,0.9,0.5,1.6,5.4,0.5,0.9,0.4,0.7,0.6,0.7,0.9
Massachusetts,0.7,0.5,0.3,1,2.3,1.2,10,1.1,3.1,1.1,0.9,0.5,0.3,1.4,0.7,0.5,0.5,0.7,0,1.9,13.5,1.1,1.1,0.5,0.3,0.5,1.7,0.3,0.5,32.3,2.7,0.7,0.7,4.7,1.2,0.4,0.8,2.1,29.1,1.3,0.5,0.7,1,0.8,1.7,11.3,1,0.8,0.4,0.4
Maryland,1.2,1.1,0.6,0.9,1.6,1.2,1.9,18.2,2.5,2,2.2,0.6,0.5,1.1,0.9,0.8,1.1,1,2,0,1.9,1.2,0.8,0.8,0.7,0.6,3,0.5,0.6,1.2,2.5,0.9,0.7,2.6,1.6,0.7,0.6,6.9,1.6,2.5,0.5,1.2,1.5,0.9,10.5,1.5,1,0.8,10.7,0.5
Maine,0.5,0.2,0.1,0.3,0.2,0.3,1.1,0.3,0.8,0.2,0.3,0.2,0.1,0.2,0.1,0.1,0.1,0.1,2.6,0.3,0,0.2,0.2,0.2,0.1,0.3,0.4,0.1,0.2,8.2,0.3,0.2,0.1,0.5,0.2,0.1,0.3,0.4,1.6,0.3,0.2,0.2,0.2,0.2,0.5,3.5,0.3,0.2,0.2,0.2
Michigan,2,2.3,1.8,2.9,2,2.1,1.1,0.8,3.4,2.4,1.2,2.4,0.8,5.4,7.5,1.5,3,1.4,1.4,1.7,1.2,0,2.8,2,1.7,1.8,2.5,2,1.4,1,1.1,1.2,1.5,1.7,7.1,1.4,1.3,1.9,0.8,2.3,1.7,3.5,2.5,1.3,1.9,1,1.6,5.5,1.5,2.7
Minnesota,1.7,0.5,0.9,2,1.4,1.8,0.7,0.4,1,0.8,0.7,7.5,0.9,2.5,1.1,1.4,0.6,0.5,0.9,0.7,0.7,1.4,0,1.3,0.5,2.7,0.7,26.9,2.7,0.5,0.5,0.8,0.9,0.8,1,0.8,1.1,0.6,0.5,0.5,13.2,0.7,1.3,0.9,0.6,0.7,1.2,13.6,0.2,1.6
Missouri,2,1.4,11,1.7,1.6,2.3,0.8,0.6,1.6,1.4,1.7,6,0.9,6.7,2.3,22.6,2.8,2,0.9,0.8,0.7,1.9,2.2,0,2,1.5,1.2,1.3,5.1,0.6,0.6,1.3,1.1,0.9,1.5,4.9,1.1,0.8,0.4,0.9,2.2,2.1,2.5,1.3,1.1,0.6,1.3,1.8,0.8,1.6
Mississippi,0.6,6.1,3.4,0.4,0.5,0.5,0.2,0.3,1,1.5,0.5,0.5,0.3,0.9,0.7,0.5,0.8,8.7,0.2,0.4,0.4,0.8,0.4,1,0,0.5,0.7,0.5,0.6,0.1,0.2,0.5,0.5,0.3,0.7,0.9,0.2,0.4,0.3,0.7,0.5,6.6,1.6,0.4,0.8,0.2,0.4,0.8,0.5,0.5
Montana,1.7,0.1,0.2,0.8,0.5,1.1,0.1,0.1,0.2,0.1,0.5,0.3,3.6,0.2,0.2,0.3,0.1,0.2,0.2,0.1,0.3,0.3,0.8,0.3,0.2,0,0.2,6.3,0.7,0.3,0.1,0.7,0.7,0.1,0.2,0.4,1.8,0.2,0.1,0.2,1.9,0.2,0.3,1.3,0.2,0.4,1.7,0.4,0.2,5.9
NorthCarolina,3.3,3.6,2,1.8,2.9,2.5,2.9,2.8,5,6.2,4,1.7,1.2,2.3,2.3,2.3,3.3,3.7,3,5,3.1,3.5,1.8,2.2,2.5,1.3,0,1.2,1.5,2.6,3.1,1.5,1.2,4.4,4.2,2.3,1.1,4,2.9,17.9,1.5,4.9,3.3,1.5,9.9,3.1,2.1,2,6.4,1.2
NorthDakota,0.6,0.1,0.2,0.4,0.2,0.5,0.1,0.1,0.2,0.1,0.2,0.5,0.5,0.2,0.1,0.4,0.1,0.2,0.1,0.1,0.2,0.3,7.3,0.3,0.1,3.1,0.1,0,1,0.1,0.1,0.3,0.2,0.1,0.2,0.4,0.2,0.1,0.1,0.1,5.3,0.1,0.3,0.3,0.1,0,0.3,0.5,0.2,1.3
