Outflow,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,NorthCarolina,NorthDakota,Nebraska,NewHampshire,NewJersey,NewMexico,Nevada,NewYork,Ohio,Oklahoma,Oregon,Pennsylvania,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,WestVirginia,Wyoming
Alaska,0,2.005888253,0.786178783,3.34853926,9.113850335,3.342068653,0.430295383,0.207059433,5.516192695,3.765893429,2.022064771,0.585589958,2.196771167,1.802064124,1.064414895,1.37176874,1.37176874,1.320003882,0.711766799,1.177650523,0.524119189,1.950888091,1.714710926,1.950888091,0.601766476,1.6920638,3.287068491,0.601766476,0.815296516,0.24911838,0.68588437,1.210003559,1.886182018,1.983241127,1.556181048,1.954123394,4.736484519,1.413827688,0.055000162,1.430004206,0.553236921,1.5141221,8.528260377,2.135300398,3.041185415,0.24911838,9.113850335,1.37176874,0.32029506,0.734413925
Alabama,0.644262386,0,1.221646324,1.391071727,3.557933456,1.253970908,0.403499972,0.167196121,13.5863568,19.07596277,0.671013766,0.468149139,0.264169871,2.05762693,1.611770607,0.885024801,2.067658697,2.764309201,0.492671237,1.062252689,0.154935072,2.286128295,0.451429527,1.410020621,6.128295157,0.121495848,3.629270468,0.12372513,0.348882573,0.162737558,0.76018503,0.444741682,0.560664326,2.144568913,2.30619183,0.978654629,0.347767932,1.1882071,0.133756897,2.096639358,0.162737558,7.465864125,6.705679095,0.498244441,3.355068829,0.051273477,1.217187761,0.626428134,0.318787271,0.173883966
Arkansas,0.443075504,1.601001449,0,1.989721966,5.815983661,1.605942812,0.225655554,0.102121492,4.317103703,2.506917907,0.378837792,1.00803795,0.406838846,3.780142311,1.360521808,2.529977599,1.073922783,4.333574911,0.33601265,0.564962446,0.1185927,1.810185795,0.886151008,10.94676505,3.402951641,0.214125708,1.965015154,0.204242983,0.698379233,0.092238767,0.667083937,0.701673475,0.92897615,1.271577283,1.437936487,8.647384372,0.596257741,0.9487416,0.080708921,0.917446304,0.179536171,5.796218211,17.75925682,0.681908025,1.64217947,0.046119383,1.176044275,1.2254579,0.163064962,0.413427329
Arizona,0.859261137,0.583613206,0.603257081,0,19.40181231,4.923008681,0.590583613,0.162854065,3.304606806,1.699512071,0.88587542,1.148216209,1.33071415,4.511120968,1.62283759,1.188771307,0.705278499,0.556998923,1.011342754,0.849122362,0.26234079,2.93327419,1.996071225,1.718522274,0.41315506,0.747734618,1.802800836,0.366896901,0.934034599,0.307331601,1.205246816,4.495279133,3.855268994,2.641150751,2.490970154,1.143780496,2.490970154,1.905455928,0.1786959,0.671693809,0.642544832,1.002471326,6.985615614,3.442747608,1.618401876,0.154616311,5.009188264,1.842722261,0.156517331,0.645713199
California,0.635733568,0.694908109,0.707214319,8.328685775,0,3.81021206,0.906470186,0.185640486,4.998677737,2.75397268,2.271935819,0.702239468,1.182705324,4.205843617,1.278274826,0.977165435,0.653538297,0.894425811,2.338965388,1.60347297,0.234341657,2.021884107,1.407620948,1.607138649,0.492248397,0.480989524,2.906098382,0.179356464,0.570798673,0.34719222,2.143113366,1.216481943,6.86765064,5.226997206,2.018742096,1.125101788,3.847130689,2.166154781,0.276235138,0.913539711,0.236698165,1.286915357,9.138277288,2.52067836,3.435003574,0.154220375,6.464164055,1.126672794,0.161813569,0.296658209
Colorado,0.873260194,1.039234727,0.741720212,5.834590194,11.71807745,0,0.560594478,0.154266785,5.234051638,2.481353691,1.148047905,1.374627246,1.159755652,3.654883164,1.344324842,2.678319318,0.809211931,0.986205519,1.176972928,1.174906855,0.331260373,2.09706411,1.796794832,2.331907743,0.519961709,1.06884844,2.512344786,0.491036687,1.971722347,0.368449688,0.989648974,3.194837572,2.340860726,2.727905071,2.165933211,1.929023505,1.568838109,1.853956185,0.176304897,0.839514335,0.765135707,1.389089757,10.01769936,2.400776843,2.703800886,0.22589065,2.982720743,1.557130362,0.203852537,2.333285125
Connecticut,0.130853514,0.403028823,0.177960779,1.123595506,5.112010608,0.992741992,0,0.265196455,9.018424175,2.650219834,0.472817363,0.326261428,0.167492498,2.119826924,0.706608975,0.420475958,0.453625515,0.361155698,9.957080047,1.852885756,1.132319073,1.120106079,0.736269105,0.767673948,0.174471352,0.101193384,2.873543164,0.069788541,0.233791611,1.402749669,5.858747994,0.193663201,0.540861191,27.26114872,1.741224091,0.357666271,0.352432131,3.634238258,2.789796915,1.41321795,0.078512108,0.823504781,2.859585456,0.450136088,3.24342243,0.844441343,1.381813106,0.62984158,0.169237211,0.052341406
Delaware,0.277579507,0.384645888,0.249821556,0.713775874,2.565627726,0.555159013,0.943770323,0,5.242287255,2.49821556,0.245856135,0.3132683,0.178443969,1.332381632,0.428265525,0.341026251,0.456023475,0.301372036,1.11824887,18.15369974,0.249821556,0.808945991,0.376715045,0.574986121,0.245856135,0.126893489,2.78372591,0.099135538,0.162582282,0.245856135,12.11436276,0.222063605,0.408438417,6.808628757,1.407724641,0.436196368,0.226029027,24.77991911,0.253786978,1.082560076,0.111031803,0.717741296,2.581489412,0.301372036,4.68316282,0.134824332,0.440161789,0.642398287,0.610674915,0.063446744
Florida,0.372183476,2.696709585,0.667471388,1.377414163,4.845091202,1.600947783,1.978719599,0.418007868,0,8.289967811,0.576716738,0.572246066,0.231357296,3.706410944,2.250312947,0.74973176,1.560264664,1.205293276,3.049222103,2.446798999,0.758673104,3.381840129,1.00791309,1.553111588,1.010819027,0.179944564,4.972281831,0.14574392,0.392748569,0.890110873,4.892033262,0.504962446,0.975500715,10.30802933,4.19036123,0.760014306,0.500491774,4.517837983,0.749508226,2.329443848,0.100143062,2.924490343,5.672389127,0.478138412,4.412553648,0.321664878,1.27101216,1.326001431,0.641541488,0.235827969
Georgia,0.502213967,7.114624506,0.738575843,1.283484599,4.841677157,1.372395398,0.897470884,0.272894531,16.15315545,0,0.679155259,0.393496307,0.178701902,2.996117855,1.466147874,1.127670625,1.645730081,1.69194609,1.128991083,1.986408092,0.220076234,2.382985466,0.797116121,1.349507469,1.540973793,0.136887418,6.169177003,0.116640404,0.290060477,0.267612701,2.380784704,0.406260729,0.599487663,5.206563554,3.284417722,0.828807099,0.335836334,2.436243915,0.227118674,5.748831395,0.097713848,5.159907392,6.303863658,0.437951706,3.967974506,0.078347139,1.460425892,0.856536704,0.338037096,0.102995678
