Outflow,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,NorthCarolina,NorthDakota,Nebraska,NewHampshire,NewJersey,NewMexico,Nevada,NewYork,Ohio,Oklahoma,Oregon,Pennsylvania,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,WestVirginia,Wyoming
Alaska,0.00,2.01,0.79,3.35,9.11,3.34,0.43,0.21,5.52,3.77,2.02,0.59,2.20,1.80,1.06,1.37,1.37,1.32,0.71,1.18,0.52,1.95,1.72,1.95,0.60,1.69,3.29,0.60,0.82,0.25,0.69,1.21,1.89,1.98,1.56,1.95,4.74,1.41,0.06,1.43,0.55,1.51,8.53,2.14,3.04,0.25,9.11,1.37,0.32,0.73
Alabama,0.64,0.00,1.22,1.39,3.56,1.25,0.40,0.17,13.59,19.08,0.67,0.47,0.26,2.06,1.61,0.89,2.07,2.76,0.49,1.06,0.16,2.29,0.45,1.41,6.13,0.12,3.63,0.12,0.35,0.16,0.76,0.45,0.56,2.15,2.31,0.98,0.35,1.19,0.13,2.10,0.16,7.47,6.71,0.50,3.36,0.05,1.22,0.63,0.32,0.17
Arkansas,0.44,1.60,0.00,1.99,5.82,1.61,0.23,0.10,4.32,2.51,0.38,1.01,0.41,3.78,1.36,2.53,1.07,4.33,0.34,0.57,0.12,1.81,0.89,10.95,3.40,0.21,1.97,0.20,0.70,0.09,0.67,0.70,0.93,1.27,1.44,8.65,0.60,0.95,0.08,0.92,0.18,5.80,17.76,0.68,1.64,0.05,1.18,1.23,0.16,0.41
Arizona,0.86,0.58,0.60,0.00,19.40,4.92,0.59,0.16,3.31,1.70,0.89,1.15,1.33,4.51,1.62,1.19,0.71,0.56,1.01,0.85,0.26,2.93,2.00,1.72,0.41,0.75,1.80,0.37,0.93,0.31,1.21,4.50,3.86,2.64,2.49,1.14,2.49,1.91,0.18,0.67,0.64,1.00,6.99,3.44,1.62,0.16,5.01,1.84,0.16,0.65
California,0.64,0.70,0.71,8.33,0.00,3.81,0.91,0.19,5.00,2.75,2.27,0.70,1.18,4.21,1.28,0.98,0.65,0.89,2.34,1.60,0.23,2.02,1.41,1.61,0.49,0.48,2.91,0.18,0.57,0.35,2.14,1.22,6.87,5.23,2.02,1.13,3.85,2.17,0.28,0.91,0.24,1.29,9.14,2.52,3.44,0.15,6.46,1.13,0.16,0.30
Colorado,0.87,1.04,0.74,5.84,11.72,0.00,0.56,0.15,5.23,2.48,1.15,1.38,1.16,3.66,1.34,2.68,0.81,0.99,1.18,1.18,0.33,2.10,1.80,2.33,0.52,1.07,2.51,0.49,1.97,0.37,0.99,3.20,2.34,2.73,2.17,1.93,1.57,1.85,0.18,0.84,0.77,1.39,10.02,2.40,2.70,0.23,2.98,1.56,0.20,2.33
Connecticut,0.13,0.40,0.18,1.12,5.11,0.99,0.00,0.27,9.02,2.65,0.47,0.33,0.17,2.12,0.71,0.42,0.45,0.36,9.96,1.85,1.13,1.12,0.74,0.77,0.17,0.10,2.87,0.07,0.23,1.40,5.86,0.19,0.54,27.26,1.74,0.36,0.35,3.63,2.79,1.41,0.08,0.82,2.86,0.45,3.24,0.84,1.38,0.63,0.17,0.05
Delaware,0.28,0.39,0.25,0.71,2.57,0.56,0.94,0.00,5.24,2.50,0.25,0.31,0.18,1.33,0.43,0.34,0.46,0.30,1.12,18.15,0.25,0.81,0.38,0.58,0.25,0.13,2.78,0.10,0.16,0.25,12.11,0.22,0.41,6.81,1.41,0.44,0.23,24.78,0.25,1.08,0.11,0.72,2.58,0.30,4.68,0.14,0.44,0.64,0.61,0.06
Florida,0.37,2.70,0.67,1.38,4.85,1.60,1.98,0.42,0.00,8.29,0.58,0.57,0.23,3.71,2.25,0.75,1.56,1.21,3.05,2.45,0.76,3.38,1.01,1.55,1.01,0.18,4.97,0.15,0.39,0.89,4.89,0.51,0.98,10.31,4.19,0.76,0.50,4.52,0.75,2.33,0.10,2.92,5.67,0.48,4.41,0.32,1.27,1.33,0.64,0.24
Georgia,0.50,7.12,0.74,1.28,4.84,1.37,0.90,0.27,16.15,0.00,0.68,0.39,0.18,3.00,1.47,1.13,1.65,1.69,1.13,1.99,0.22,2.38,0.80,1.35,1.54,0.14,6.17,0.12,0.29,0.27,2.38,0.41,0.60,5.21,3.28,0.83,0.34,2.44,0.23,5.75,0.10,5.16,6.30,0.44,3.97,0.08,1.46,0.86,0.34,0.10
