Outflow,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
Alaska,0,620,243,"1,035","2,817","1,033",133,64,"1,705","1,164",625,181,679,557,329,424,424,408,220,364,162,603,530,603,186,523,"1,016",186,252,77,212,374,583,613,481,604,"1,464",437,17,442,171,468,"2,636",660,940,77,"2,817",424,99,227
Alabama,578,0,"1,096","1,248","3,192","1,125",362,150,"12,189","17,114",602,420,237,"1,846","1,446",794,"1,855","2,480",442,953,139,"2,051",405,"1,265","5,498",109,"3,256",111,313,146,682,399,503,"1,924","2,069",878,312,"1,066",120,"1,881",146,"6,698","6,016",447,"3,010",46,"1,092",562,286,156
Arkansas,269,972,0,"1,208","3,531",975,137,62,"2,621","1,522",230,612,247,"2,295",826,"1,536",652,"2,631",204,343,72,"1,099",538,"6,646","2,066",130,"1,193",124,424,56,405,426,564,772,873,"5,250",362,576,49,557,109,"3,519","10,782",414,997,28,714,744,99,251
Arizona,"1,356",921,952,0,"30,618","7,769",932,257,"5,215","2,682","1,398","1,812","2,100","7,119","2,561","1,876","1,113",879,"1,596","1,340",414,"4,629","3,150","2,712",652,"1,180","2,845",579,"1,474",485,"1,902","7,094","6,084","4,168","3,931","1,805","3,931","3,007",282,"1,060","1,014","1,582","11,024","5,433","2,554",244,"7,905","2,908",247,"1,019"
California,"2,428","2,654","2,701","31,809",0,"14,552","3,462",709,"19,091","10,518","8,677","2,682","4,517","16,063","4,882","3,732","2,496","3,416","8,933","6,124",895,"7,722","5,376","6,138","1,880","1,837","11,099",685,"2,180","1,326","8,185","4,646","26,229","19,963","7,710","4,297","14,693","8,273","1,055","3,489",904,"4,915","34,901","9,627","13,119",589,"24,688","4,303",618,"1,133"
Colorado,"1,268","1,509","1,077","8,472","17,015",0,814,224,"7,600","3,603","1,667","1,996","1,684","5,307","1,952","3,889","1,175","1,432","1,709","1,706",481,"3,045","2,609","3,386",755,"1,552","3,648",713,"2,863",535,"1,437","4,639","3,399","3,961","3,145","2,801","2,278","2,692",256,"1,219","1,111","2,017","14,546","3,486","3,926",328,"4,331","2,261",296,"3,388"
Connecticut,75,231,102,644,"2,930",569,0,152,"5,169","1,519",271,187,96,"1,215",405,241,260,207,"5,707","1,062",649,642,422,440,100,58,"1,647",40,134,804,"3,358",111,310,"15,625",998,205,202,"2,083","1,599",810,45,472,"1,639",258,"1,859",484,792,361,97,30
Delaware,70,97,63,180,647,140,238,0,"1,322",630,62,79,45,336,108,86,115,76,282,"4,578",63,204,95,145,62,32,702,25,41,62,"3,055",56,103,"1,717",355,110,57,"6,249",64,273,28,181,651,76,"1,181",34,111,162,154,16
Florida,"1,665","12,064","2,986","6,162","21,675","7,162","8,852","1,870",0,"37,086","2,580","2,560","1,035","16,581","10,067","3,354","6,980","5,392","13,641","10,946","3,394","15,129","4,509","6,948","4,522",805,"22,244",652,"1,757","3,982","21,885","2,259","4,364","46,114","18,746","3,400","2,239","20,211","3,353","10,421",448,"13,083","25,376","2,139","19,740","1,439","5,686","5,932","2,870","1,055"
Georgia,"1,141","16,164","1,678","2,916","11,000","3,118","2,039",620,"36,699",0,"1,543",894,406,"6,807","3,331","2,562","3,739","3,844","2,565","4,513",500,"5,414","1,811","3,066","3,501",311,"14,016",265,659,608,"5,409",923,"1,362","11,829","7,462","1,883",763,"5,535",516,"13,061",222,"11,723","14,322",995,"9,015",178,"3,318","1,946",768,234
Hawaii,759,674,220,"1,367","8,847","1,327",526,65,"2,350","1,653",0,202,329,939,330,535,461,447,418,"1,018",149,570,331,804,213,221,"1,847",76,157,104,501,292,"1,449","1,373",684,629,"1,180",587,201,810,50,612,"3,900",665,"2,491",50,"3,606",337,93,110
Iowa,150,326,509,"1,610","3,060","1,605",230,84,"1,633",877,236,0,281,"8,636","1,167","1,434",461,244,251,318,84,"1,272","4,040","3,214",241,174,933,260,"5,503",106,407,284,469,731,900,609,406,706,34,383,"1,502",733,"2,954",487,780,52,823,"2,475",61,253
Idaho,739,167,173,"2,226","6,876","1,400",103,27,794,495,293,258,0,507,236,315,191,202,124,207,58,326,394,406,137,"1,559",527,224,235,81,141,379,"2,109",478,347,356,"3,891",336,6,173,179,318,"1,761","4,627",595,31,"7,322",265,36,"1,023"
Illinois,465,"1,501","1,589","4,940","11,639","3,127","1,270",299,"10,016","5,003",747,"6,889",417,0,"14,429","1,829","2,897","1,192","2,195","1,784",249,"8,670","4,038","10,655","1,438",244,"3,618",337,"1,107",327,"2,587",697,"1,957","5,300","6,157","1,399",984,"3,262",261,"1,336",392,"3,706","9,780","1,013","4,003",178,"2,675","10,958",308,303
Indiana,238,"1,169",667,"2,011","4,460","1,433",452,170,"7,116","2,757",327,964,259,"18,555",0,823,"8,943",812,703,873,126,"7,532","1,053","2,281",688,172,"2,279",137,366,139,896,417,816,"2,243","9,074",836,558,"1,864",99,"1,212",183,"3,311","4,917",563,"1,871",92,"1,225","1,981",452,186
Kansas,431,766,"1,144","1,851","3,797","3,340",162,126,"2,369","1,787",513,"1,278",298,"1,988",904,0,746,611,307,534,93,"1,062",948,"15,544",354,216,"1,560",266,"2,196",97,466,678,576,"1,379","1,062","4,390",478,843,24,672,368,981,"6,987",489,"1,604",45,"1,379",678,101,325
Kentucky,421,"1,640",596,"1,045","2,777",964,251,97,"5,490","3,603",459,459,187,"3,771","9,158",867,0,841,428,866,112,"2,498",464,"2,284",627,111,"2,697",91,230,142,572,278,507,"1,732","10,954",806,346,"1,500",72,"1,430",92,"8,879","4,562",378,"3,493",42,962,719,"1,479",135
Louisiana,437,"2,614","2,596","1,046","3,997","1,418",286,120,"5,607","4,639",497,365,137,"1,490",874,742,834,0,555,790,106,"1,050",414,"1,531","6,720",179,"2,888",151,281,94,681,399,611,"1,920","1,290","1,390",360,974,107,"1,038",92,"2,277","19,484",338,"1,981",58,"1,061",474,175,207
Massachusetts,151,433,226,"1,371","7,132","1,383","6,650",284,"9,504","2,275",429,309,151,"2,372",673,338,437,406,"104,986","1,942","2,502","1,286",854,844,219,147,"2,889",73,185,"8,199","4,076",379,519,"11,616","1,790",267,580,"3,929","6,431",970,70,837,"3,109",429,"2,738","1,491","1,249",697,178,91
Maryland,385,885,339,"1,472","6,696","1,577","1,294","3,642","8,254","4,483","1,237",417,193,"2,253","1,023",605,750,778,"2,205","128,947",371,"1,885",781,893,475,133,"5,716",106,316,360,"6,190",490,770,"7,668","2,612",573,499,"11,011",424,"1,861",129,"1,631","5,520",584,"19,417",191,"1,672",667,"2,585",86
Maine,178,163,71,392,"1,003",395,"1,107",39,"2,136",425,153,114,70,297,131,91,172,135,"2,992",426,"21,953",265,148,163,77,69,679,53,64,"2,811",514,139,125,"1,412",348,141,172,806,405,318,26,237,784,115,707,511,302,162,53,47
Michigan,524,"1,701",798,"3,332","6,436","2,063",660,183,"10,193","3,935",608,"1,145",331,"7,780","6,961","1,003","2,196",959,"1,092","1,218",226,"133,367","1,494","1,985",832,306,"3,613",285,408,262,"1,167",501,"1,557","3,630","9,120",835,726,"2,296",143,"1,609",245,"3,893","6,281",620,"2,793",175,"1,648","3,517",398,517
Minnesota,448,365,488,"2,556","5,088","2,095",363,115,"2,903","1,478",295,"4,259",410,"4,746","1,269",840,471,330,784,581,164,"2,034","77,893","1,619",288,581,"1,292","5,369","1,324",167,774,358,836,"1,672","1,514",599,879,"1,156",108,477,"2,630",899,"3,940",648,"1,309",108,"1,601","10,626",110,308
Missouri,678,"1,131","4,894","2,364","6,085","2,565",376,143,"4,662","2,680",774,"3,112",490,"12,963","2,191","15,644","1,724","1,304",560,823,157,"2,133","1,387","115,708","1,035",289,"2,291",260,"1,816",136,732,613,"1,087","1,978","2,082","3,409",791,"1,419",95,873,487,"2,606","8,003",979,"2,210",78,"1,762","1,757",213,378
Mississippi,230,"5,292","1,830",583,"1,946",682,131,69,"4,217","3,399",196,334,105,"1,781",737,359,744,"6,429",154,419,71,969,284,"1,112","58,960",95,"1,401",78,259,69,394,243,373,777,887,639,170,578,53,812,71,"9,581","4,910",235,"1,367",d,553,614,120,98
Montana,546,194,142,"1,135","2,663","1,475",90,25,784,363,189,225,"1,595",389,198,218,151,120,127,158,68,478,705,396,127,"24,676",343,820,227,83,124,308,807,382,333,316,"1,263",398,25,111,447,300,"1,247",999,417,76,"2,963",445,65,"1,454"
North Carolina,"1,128","3,557","1,238","3,221","12,039","3,075","2,912",897,"22,640","15,113","1,655","1,190",584,"5,004","3,325","1,939","2,910","2,159","3,727","6,832",937,"5,523","1,564","2,729","1,569",354,"201,396",185,645,"1,075","7,692",864,"1,200","16,301","8,326","1,772","1,107","9,051",855,"19,091",253,"6,225","11,512",997,"23,086",525,"2,979","1,888","2,156",289
North Dakota,293,126,120,575,949,946,52,14,623,245,111,321,584,330,187,200,80,191,63,102,32,449,"6,063",286,121,"1,429",264,"18,326",257,24,86,197,315,244,248,300,271,193,d,104,"1,237",160,"1,178",467,212,d,643,604,43,"1,001"
Nebraska,177,315,391,"1,247","2,356","2,815",105,53,"1,512",658,198,"5,548",273,"1,290",438,"2,352",254,252,172,228,60,517,"1,009","1,912",230,278,550,356,"39,014",52,248,302,627,479,602,611,360,402,57,221,"1,443",399,"2,754",514,687,28,792,450,42,772
New Hampshire,74,100,37,378,"1,032",381,"1,027",87,"2,168",463,99,78,60,316,214,93,101,113,"9,744",374,"2,468",302,145,182,40,83,768,26,53,"32,003",620,78,156,"1,791",383,99,146,765,417,367,36,232,759,172,682,"1,888",268,150,59,61
New Jersey,206,558,315,"1,326","6,447",918,"2,873","1,751","11,737","3,586",412,324,144,"2,685",874,403,477,494,"3,506","3,233",357,"1,441",621,770,228,124,"4,125",60,165,440,"161,047",242,790,"44,551","1,967",353,381,"19,356",646,"1,448",81,"1,010","4,079",330,"4,089",251,"1,007",630,265,73
New Mexico,594,397,479,"9,499","5,215","4,270",220,48,"1,931",850,313,327,503,980,494,732,280,385,387,515,111,695,434,743,274,381,811,161,344,151,314,"53,008","1,669",925,827,"1,157",664,641,62,388,235,532,"11,244","1,184","1,179",103,"1,274",439,105,386
Nevada,731,418,427,"6,481","28,563","2,536",312,88,"3,632","1,203","1,739",468,"1,600","2,329",795,575,355,546,578,635,95,"1,313",750,954,457,556,"1,045",203,553,126,988,"1,221","91,923","2,025","1,321",817,"2,064","1,053",117,470,277,743,"4,534","4,122","1,351",66,"3,297",752,118,497
New York,599,"1,720",731,"3,522","17,025","2,973","11,276","1,110","29,124","9,101","1,250",758,347,"6,057","2,019","1,279","1,520","1,519","10,821","5,983","1,095","3,998","1,774","2,027",704,299,"10,171",165,516,"1,429","33,418",786,"1,728","300,555","5,487","1,173","1,393","19,294","1,646","4,204",209,"2,528","10,197","1,113","9,035","1,899","3,040","1,522",551,190
Ohio,425,"1,746",829,"2,991","6,358","2,080",969,348,"11,970","4,982",587,911,425,"5,819","8,341","1,127","9,470","1,106","1,566","2,129",322,"9,400","1,300","1,972",889,230,"5,492",219,492,343,"2,223",646,"1,396","5,291","161,486","1,049",640,"8,016",228,"2,668",249,"3,991","6,874",898,"4,442",176,"1,660","1,686","4,907",263
Oklahoma,676,882,"5,645","2,405","5,640","2,860",236,115,"3,357","2,123",668,653,372,"1,603",918,"5,560",726,"1,386",313,552,82,"1,079",655,"3,869",724,281,"1,819",296,705,113,471,"1,328","1,023","1,296","1,385","74,127",616,893,78,668,248,"1,336","18,957",660,"1,462",40,"1,601",651,226,388
