Outflow,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,NorthCarolina,NorthDakota,Nebraska,NewHampshire,NewJersey,NewMexico,Nevada,NewYork,Ohio,Oklahoma,Oregon,Pennsylvania,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,WestVirginia,Wyoming,,
Alaska,0,2,0.8,3.4,9.1,3.3,0.4,0.2,5.5,3.8,2,0.6,2.2,1.8,1.1,1.4,1.4,1.3,0.7,1.2,0.5,2,1.7,2,0.6,1.7,3.3,0.6,0.8,0.3,0.7,1.2,1.9,2,1.6,2,4.7,1.4,0.1,1.4,0.6,1.5,8.5,2.1,3,0.3,9.1,1.4,0.3,0.7,,
Alabama,0.6,0,1.2,1.4,3.6,1.3,0.4,0.2,13.6,19.1,0.7,0.5,0.3,2.1,1.6,0.9,2.1,2.8,0.5,1.1,0.2,2.3,0.5,1.4,6.1,0.1,3.6,0.1,0.4,0.2,0.8,0.5,0.6,2.2,2.3,1,0.4,1.2,0.1,2.1,0.2,7.5,6.7,0.5,3.4,0.1,1.2,0.6,0.3,0.2,,
Arkansas,0.4,1.6,0,2,5.8,1.6,0.2,0.1,4.3,2.5,0.4,1,0.4,3.8,1.4,2.5,1.1,4.3,0.3,0.6,0.1,1.8,0.9,11,3.4,0.2,2,0.2,0.7,0.1,0.7,0.7,0.9,1.3,1.4,8.7,0.6,1,0.1,0.9,0.2,5.8,17.8,0.7,1.6,0.1,1.2,1.2,0.2,0.4,,
Arizona,0.9,0.6,0.6,0,19.4,4.9,0.6,0.2,3.3,1.7,0.9,1.2,1.3,4.5,1.6,1.2,0.7,0.6,1,0.9,0.3,2.9,2,1.7,0.4,0.8,1.8,0.4,0.9,0.3,1.2,4.5,3.9,2.6,2.5,1.1,2.5,1.9,0.2,0.7,0.6,1,7,3.4,1.6,0.2,5,1.8,0.2,0.7,,
California,0.6,0.7,0.7,8.3,0,3.8,0.9,0.2,5,2.8,2.3,0.7,1.2,4.2,1.3,1,0.7,0.9,2.3,1.6,0.2,2,1.4,1.6,0.5,0.5,2.9,0.2,0.6,0.4,2.1,1.2,6.9,5.2,2,1.1,3.9,2.2,0.3,0.9,0.2,1.3,9.1,2.5,3.4,0.2,6.5,1.1,0.2,0.3,,
Colorado,0.9,1,0.7,5.8,11.7,0,0.6,0.2,5.2,2.5,1.2,1.4,1.2,3.7,1.3,2.7,0.8,1,1.2,1.2,0.3,2.1,1.8,2.3,0.5,1.1,2.5,0.5,2,0.4,1,3.2,2.3,2.7,2.2,1.9,1.6,1.9,0.2,0.8,0.8,1.4,10,2.4,2.7,0.2,3,1.6,0.2,2.3,,
Connecticut,0.1,0.4,0.2,1.1,5.1,1,0,0.3,9,2.7,0.5,0.3,0.2,2.1,0.7,0.4,0.5,0.4,10,1.9,1.1,1.1,0.7,0.8,0.2,0.1,2.9,0.1,0.2,1.4,5.9,0.2,0.5,27.3,1.7,0.4,0.4,3.6,2.8,1.4,0.1,0.8,2.9,0.5,3.2,0.8,1.4,0.6,0.2,0.1,,
Delaware,0.3,0.4,0.3,0.7,2.6,0.6,0.9,0,5.2,2.5,0.3,0.3,0.2,1.3,0.4,0.3,0.5,0.3,1.1,18.2,0.3,0.8,0.4,0.6,0.3,0.1,2.8,0.1,0.2,0.3,12.1,0.2,0.4,6.8,1.4,0.4,0.2,24.8,0.3,1.1,0.1,0.7,2.6,0.3,4.7,0.1,0.4,0.6,0.6,0.1,,
Florida,0.4,2.7,0.7,1.4,4.9,1.6,2,0.4,0,8.3,0.6,0.6,0.2,3.7,2.3,0.8,1.6,1.2,3.1,2.5,0.8,3.4,1,1.6,1,0.2,5,0.2,0.4,0.9,4.9,0.5,1,10.3,4.2,0.8,0.5,4.5,0.8,2.3,0.1,2.9,5.7,0.5,4.4,0.3,1.3,1.3,0.6,0.2,,
Georgia,0.5,7.1,0.7,1.3,4.8,1.4,0.9,0.3,16.2,0,0.7,0.4,0.2,3,1.5,1.1,1.7,1.7,1.1,2,0.2,2.4,0.8,1.4,1.5,0.1,6.2,0.1,0.3,0.3,2.4,0.4,0.6,5.2,3.3,0.8,0.3,2.4,0.2,5.8,0.1,5.2,6.3,0.4,4,0.1,1.5,0.9,0.3,0.1,,
Hawaii,1.6,1.5,0.5,2.9,19,2.9,1.1,0.1,5.1,3.6,0,0.4,0.7,2,0.7,1.2,1,1,0.9,2.2,0.3,1.2,0.7,1.7,0.5,0.5,4,0.2,0.3,0.2,1.1,0.6,3.1,3,1.5,1.4,2.5,1.3,0.4,1.7,0.1,1.3,8.4,1.4,5.4,0.1,7.8,0.7,0.2,0.2,,
Iowa,0.3,0.6,0.9,3,5.7,3,0.4,0.2,3,1.6,0.4,0,0.5,16,2.2,2.7,0.9,0.5,0.5,0.6,0.2,2.4,7.5,6,0.5,0.3,1.7,0.5,10.2,0.2,0.8,0.5,0.9,1.4,1.7,1.1,0.8,1.3,0.1,0.7,2.8,1.4,5.5,0.9,1.5,0.1,1.5,4.6,0.1,0.5,,
Idaho,1.7,0.4,0.4,5.1,15.8,3.2,0.2,0.1,1.8,1.1,0.7,0.6,0,1.2,0.5,0.7,0.4,0.5,0.3,0.5,0.1,0.8,0.9,0.9,0.3,3.6,1.2,0.5,0.5,0.2,0.3,0.9,4.8,1.1,0.8,0.8,8.9,0.8,0,0.4,0.4,0.7,4,10.6,1.4,0.1,16.8,0.6,0.1,2.3,,
Illinois,0.3,0.9,1,3.1,7.3,2,0.8,0.2,6.3,3.1,0.5,4.3,0.3,0,9,1.1,1.8,0.7,1.4,1.1,0.2,5.4,2.5,6.7,0.9,0.2,2.3,0.2,0.7,0.2,1.6,0.4,1.2,3.3,3.8,0.9,0.6,2,0.2,0.8,0.3,2.3,6.1,0.6,2.5,0.1,1.7,6.8,0.2,0.2,,
Indiana,0.2,1.2,0.7,2,4.5,1.4,0.5,0.2,7.1,2.8,0.3,1,0.3,18.5,0,0.8,8.9,0.8,0.7,0.9,0.1,7.5,1.1,2.3,0.7,0.2,2.3,0.1,0.4,0.1,0.9,0.4,0.8,2.2,9.1,0.8,0.6,1.9,0.1,1.2,0.2,3.3,4.9,0.6,1.9,0.1,1.2,2,0.5,0.2,,
Kansas,0.6,1.1,1.7,2.7,5.5,4.9,0.2,0.2,3.4,2.6,0.8,1.9,0.4,2.9,1.3,0,1.1,0.9,0.5,0.8,0.1,1.5,1.4,22.6,0.5,0.3,2.3,0.4,3.2,0.1,0.7,1,0.8,2,1.5,6.4,0.7,1.2,0,1,0.5,1.4,10.2,0.7,2.3,0.1,2,1,0.2,0.5,,
Kentucky,0.5,2,0.7,1.3,3.4,1.2,0.3,0.1,6.7,4.4,0.6,0.6,0.2,4.6,11.2,1.1,0,1,0.5,1.1,0.1,3,0.6,2.8,0.8,0.1,3.3,0.1,0.3,0.2,0.7,0.3,0.6,2.1,13.3,1,0.4,1.8,0.1,1.7,0.1,10.8,5.6,0.5,4.3,0.1,1.2,0.9,1.8,0.2,,
Louisiana,0.6,3.4,3.4,1.4,5.2,1.8,0.4,0.2,7.3,6,0.6,0.5,0.2,1.9,1.1,1,1.1,0,0.7,1,0.1,1.4,0.5,2,8.7,0.2,3.7,0.2,0.4,0.1,0.9,0.5,0.8,2.5,1.7,1.8,0.5,1.3,0.1,1.3,0.1,2.9,25.2,0.4,2.6,0.1,1.4,0.6,0.2,0.3,,
Massachusetts,0.2,0.5,0.2,1.4,7.5,1.5,7,0.3,10,2.4,0.5,0.3,0.2,2.5,0.7,0.4,0.5,0.4,0,2,2.6,1.4,0.9,0.9,0.2,0.2,3,0.1,0.2,8.6,4.3,0.4,0.6,12.2,1.9,0.3,0.6,4.1,6.8,1,0.1,0.9,3.3,0.5,2.9,1.6,1.3,0.7,0.2,0.1,,
Maryland,0.3,0.8,0.3,1.3,5.9,1.4,1.1,3.2,7.2,3.9,1.1,0.4,0.2,2,0.9,0.5,0.7,0.7,1.9,0,0.3,1.7,0.7,0.8,0.4,0.1,5,0.1,0.3,0.3,5.4,0.4,0.7,6.7,2.3,0.5,0.4,9.7,0.4,1.6,0.1,1.4,4.8,0.5,17,0.2,1.5,0.6,2.3,0.1,,
Maine,0.8,0.7,0.3,1.8,4.5,1.8,5,0.2,9.7,1.9,0.7,0.5,0.3,1.3,0.6,0.4,0.8,0.6,13.5,1.9,0,1.2,0.7,0.7,0.4,0.3,3.1,0.2,0.3,12.7,2.3,0.6,0.6,6.4,1.6,0.6,0.8,3.6,1.8,1.4,0.1,1.1,3.5,0.5,3.2,2.3,1.4,0.7,0.2,0.2,,
Michigan,0.5,1.6,0.8,3.2,6.2,2,0.6,0.2,9.8,3.8,0.6,1.1,0.3,7.5,6.7,1,2.1,0.9,1.1,1.2,0.2,0,1.4,1.9,0.8,0.3,3.5,0.3,0.4,0.3,1.1,0.5,1.5,3.5,8.8,0.8,0.7,2.2,0.1,1.5,0.2,3.7,6,0.6,2.7,0.2,1.6,3.4,0.4,0.5,,
Minnesota,0.6,0.5,0.7,3.5,6.9,2.9,0.5,0.2,4,2,0.4,5.8,0.6,6.5,1.7,1.2,0.6,0.5,1.1,0.8,0.2,2.8,0,2.2,0.4,0.8,1.8,7.3,1.8,0.2,1.1,0.5,1.1,2.3,2.1,0.8,1.2,1.6,0.2,0.7,3.6,1.2,5.4,0.9,1.8,0.2,2.2,14.5,0.2,0.4,,
Missouri,0.6,1.1,4.6,2.2,5.7,2.4,0.4,0.1,4.4,2.5,0.7,2.9,0.5,12.2,2.1,14.7,1.6,1.2,0.5,0.8,0.2,2,1.3,0,1,0.3,2.2,0.3,1.7,0.1,0.7,0.6,1,1.9,2,3.2,0.8,1.3,0.1,0.8,0.5,2.5,7.5,0.9,2.1,0.1,1.7,1.7,0.2,0.4,,
Mississippi,0.4,9.4,3.2,1,3.5,1.2,0.2,0.1,7.5,6,0.4,0.6,0.2,3.2,1.3,0.6,1.3,11.4,0.3,0.7,0.1,1.7,0.5,2,0,0.2,2.5,0.1,0.5,0.1,0.7,0.4,0.7,1.4,1.6,1.1,0.3,1,0.1,1.4,0.1,17,8.7,0.4,2.4,0,1,1.1,0.2,0.2,,
Montana,2.1,0.7,0.5,4.3,10,5.6,0.3,0.1,3,1.4,0.7,0.9,6,1.5,0.8,0.8,0.6,0.5,0.5,0.6,0.3,1.8,2.7,1.5,0.5,0,1.3,3.1,0.9,0.3,0.5,1.2,3,1.4,1.3,1.2,4.8,1.5,0.1,0.4,1.7,1.1,4.7,3.8,1.6,0.3,11.2,1.7,0.3,5.5,,
NorthCarolina,0.5,1.6,0.6,1.4,5.3,1.4,1.3,0.4,10,6.7,0.7,0.5,0.3,2.2,1.5,0.9,1.3,1,1.7,3,0.4,2.5,0.7,1.2,0.7,0.2,0,0.1,0.3,0.5,3.4,0.4,0.5,7.2,3.7,0.8,0.5,4,0.4,8.5,0.1,2.8,5.1,0.4,10.2,0.2,1.3,0.8,1,0.1,,
NorthDakota,1.3,0.6,0.5,2.6,4.2,4.2,0.2,0.1,2.8,1.1,0.5,1.4,2.6,1.5,0.8,0.9,0.4,0.9,0.3,0.5,0.1,2,26.9,1.3,0.5,6.3,1.2,0,1.1,0.1,0.4,0.9,1.4,1.1,1.1,1.3,1.2,0.9,0,0.5,5.5,0.7,5.2,2.1,0.9,0,2.9,2.7,0.2,4.4,,
Nebraska,0.5,0.8,1.1,3.3,6.3,7.5,0.3,0.1,4,1.8,0.5,14.8,0.7,3.5,1.2,6.3,0.7,0.7,0.5,0.6,0.2,1.4,2.7,5.1,0.6,0.7,1.5,1,0,0.1,0.7,0.8,1.7,1.3,1.6,1.6,1,1.1,0.2,0.6,3.9,1.1,7.4,1.4,1.8,0.1,2.1,1.2,0.1,2.1,,
